epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1102.37,0.56452,0.30512,0.81241,0.88924,0.89685,0.8838,0.62962,0.76261,0.45123,0.8608,0.0001295,0.0001295,0.0001295
86,1113.63,0.54488,0.3068,0.80828,0.86693,0.91053,0.90387,0.64315,0.75651,0.4458,0.86091,0.000121887,0.000121887,0.000121887
87,1125,0.51549,0.29065,0.80583,0.90782,0.86668,0.89686,0.63626,0.76402,0.44486,0.86461,0.000114273,0.000114273,0.000114273
88,1140.27,0.529,0.29482,0.80844,0.94214,0.9211,0.94176,0.64882,0.76043,0.43962,0.86221,0.00010666,0.00010666,0.00010666
89,1154.66,0.53528,0.29664,0.81135,0.93409,0.93115,0.9462,0.65552,0.75776,0.43336,0.86056,9.90472e-05,9.90472e-05,9.90472e-05
90,1167.5,0.53363,0.295,0.81423,0.94283,0.89061,0.93111,0.6415,0.75326,0.43208,0.85961,9.14341e-05,9.14341e-05,9.14341e-05
91,1181.65,0.54412,0.29987,0.81099,0.94506,0.89548,0.93358,0.63231,0.76898,0.44168,0.86412,8.3821e-05,8.3821e-05,8.3821e-05
92,1193.44,0.53331,0.29076,0.80994,0.9266,0.8991,0.93613,0.63084,0.77828,0.4349,0.86535,7.62079e-05,7.62079e-05,7.62079e-05
93,1205.3,0.52954,0.28986,0.81501,0.9317,0.90283,0.9386,0.63877,0.77841,0.44121,0.86821,6.85948e-05,6.85948e-05,6.85948e-05
94,1216.94,0.51952,0.2858,0.81194,0.93716,0.89958,0.93314,0.63082,0.78059,0.44033,0.8667,6.09817e-05,6.09817e-05,6.09817e-05
95,1228.43,0.5164,0.27807,0.80642,0.92631,0.91818,0.93965,0.62474,0.76958,0.44431,0.86454,5.33686e-05,5.33686e-05,5.33686e-05
96,1239.96,0.51108,0.2774,0.80994,0.91095,0.9273,0.93823,0.62546,0.7697,0.44187,0.86511,4.57555e-05,4.57555e-05,4.57555e-05
97,1252.83,0.50214,0.27859,0.80885,0.91066,0.92228,0.93715,0.63553,0.76584,0.44474,0.86403,3.81424e-05,3.81424e-05,3.81424e-05
98,1266.72,0.49733,0.27565,0.80399,0.92233,0.92027,0.94036,0.63984,0.76509,0.44277,0.86344,3.05293e-05,3.05293e-05,3.05293e-05
99,1284.21,0.49545,0.27208,0.80872,0.92322,0.91738,0.93745,0.63572,0.76354,0.43931,0.864,2.29162e-05,2.29162e-05,2.29162e-05
100,1298.48,0.48816,0.26713,0.80426,0.93199,0.91667,0.9397,0.63733,0.76345,0.43378,0.86328,1.53031e-05,1.53031e-05,1.53031e-05
